,NAME,TEAM,XPM,XPA,1-19M,1-19A,20-29M,20-29A,30-39M,30-39A,40-49M,40-49A,50+M,50+A,FGM,FGA,LNG,XP_AV,1-19_AV,20-29_AV,30-39_AV,40-49_AV,50+_AV,TOTAL_AV
103,Zeke Rankin,MTSU,35.0,37.0,0.0,0.0,6.0,6.0,4.0,6.0,0.0,2.0,0.0,0.0,10.0,14.0,38.0,-1.333999999999996,0.0,1.176000000000002,-2.928000000000001,-3.916,0.0,-7.001999999999995
104,John Hoyland,WYO,37.0,38.0,0.0,0.0,1.0,1.0,7.0,7.0,0.0,3.0,2.0,6.0,10.0,17.0,56.0,-0.3160000000000025,0.0,0.19600000000000017,3.5839999999999996,-5.874,-2.783999999999999,-5.194000000000001
105,Denis Lynch,USC,59.0,60.0,0.0,0.0,2.0,3.0,5.0,7.0,2.0,2.0,1.0,1.0,10.0,13.0,53.0,0.0799999999999983,0.0,-2.411999999999999,-2.4160000000000004,2.084,1.536,-1.128000000000001
106,Kyler Halvorsen,SJSU,52.0,53.0,0.0,0.0,4.0,4.0,5.0,8.0,1.0,2.0,0.0,0.0,10.0,14.0,41.0,-0.045999999999999375,0.0,0.7840000000000007,-4.904,-0.9159999999999999,0.0,-5.081999999999999
107,Brady Denaburg,SYR,36.0,37.0,0.0,0.0,1.0,1.0,6.0,8.0,3.0,4.0,0.0,3.0,10.0,16.0,46.0,-0.3339999999999961,0.0,0.19600000000000017,-1.904,1.1680000000000001,-4.3919999999999995,-5.265999999999995
108,Alejandro Mata,COLO,26.0,27.0,0.0,0.0,1.0,1.0,5.0,5.0,4.0,6.0,0.0,0.0,10.0,12.0,47.0,-0.5139999999999993,0.0,0.19600000000000017,2.5600000000000005,0.25200000000000067,0.0,2.494000000000002
109,Luke Drzewiecki,UNM,37.0,38.0,1.0,1.0,4.0,5.0,3.0,3.0,2.0,4.0,0.0,1.0,10.0,14.0,47.0,-0.3160000000000025,0.0,-2.0199999999999996,1.5359999999999996,-1.8319999999999999,-1.464,-4.096000000000002
110,Buzz Flabiano,UTEP,29.0,30.0,0.0,0.0,4.0,4.0,5.0,6.0,1.0,4.0,0.0,0.0,10.0,14.0,43.0,-0.46000000000000085,0.0,0.7840000000000007,0.07199999999999918,-4.832,0.0,-4.436000000000001
111,Liam Connor,BC,34.0,36.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,6.0,0.0,0.0,10.0,12.0,45.0,-1.3519999999999968,0.0,0.588000000000001,1.5359999999999996,0.25200000000000067,0.0,1.0240000000000045
112,Chase Gabriel,FIU,21.0,23.0,0.0,0.0,3.0,3.0,2.0,4.0,3.0,4.0,1.0,1.0,9.0,12.0,50.0,-1.5859999999999985,0.0,0.588000000000001,-3.952,1.1680000000000001,1.536,-2.2459999999999973
113,Kade Hensley,CCU,23.0,23.0,0.0,0.0,4.0,4.0,5.0,7.0,0.0,1.0,0.0,0.0,9.0,12.0,38.0,0.4140000000000015,0.0,0.7840000000000007,-2.4160000000000004,-1.958,0.0,-3.1759999999999984
114,Palmer Domschke,WMU,35.0,35.0,0.0,0.0,2.0,3.0,4.0,4.0,3.0,8.0,0.0,0.0,9.0,15.0,49.0,0.6300000000000026,0.0,-2.411999999999999,2.048,-6.664,0.0,-6.397999999999996
115,Tanner Gillis,MEM,44.0,45.0,0.0,0.0,3.0,3.0,1.0,1.0,5.0,7.0,0.0,0.0,9.0,11.0,48.0,-0.18999999999999773,0.0,0.588000000000001,0.512,1.2940000000000005,0.0,2.2040000000000037
