,NAME,TEAM,XPM,XPA,1-19M,1-19A,20-29M,20-29A,30-39M,30-39A,40-49M,40-49A,50+M,50+A,FGM,FGA,LNG
119,Tim Horn,RICE,44,44,0,0,3,4,2,3,3,5,0,0,8,12,48
120,Jack Martin,HOU,34,34,0,0,1,1,4,4,3,7,0,2,8,14,44
121,Liam Rickman,GAST,35,36,0,0,2,2,5,7,1,1,0,0,8,10,46
122,Mateen Bhaghani,CAL,29,29,0,0,3,3,3,4,2,2,0,0,8,9,43
123,Camden Price,TEM,24,26,0,0,0,0,3,5,4,7,0,0,7,12,42
124,Jacob Borcila,VAN,29,30,0,0,1,1,3,4,3,5,0,0,7,10,44
125,Tristan Mattson,CMU,31,33,0,0,3,3,1,3,2,4,1,4,7,14,58
126,Joe McFadden,CONN,20,23,0,0,1,1,4,4,1,7,1,1,7,13,50
127,Liam Gray,CCU,17,17,0,0,4,4,1,4,2,2,0,2,7,12,43
128,Ben Freehill,PUR,21,22,0,0,0,0,4,6,2,4,0,1,6,11,44
129,RJ Lopez,UCLA,31,32,0,0,1,2,4,5,1,4,0,0,6,11,47
130,Nathan Kirkwood,NAVY,16,17,0,0,1,1,3,3,2,5,0,0,6,9,45
